date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-05-08,FL,39163,1667,21477737,635.1428571428571,50.42857142857143,182.3423017052495,7.761525341333679,2.957214985651687,-33.0,-9.0,-20.0,-48.0,-40.0,17.0,-22.166666666666668,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-09,FL,39949,1713,21477737,642.5714285714286,49.857142857142854,186.0019051355364,7.975700605701616,2.9918022954253916,-33.0,-3.0,-26.0,-49.0,-28.0,9.0,-21.666666666666668,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-10,FL,40546,1719,21477737,640.0,48.57142857142857,188.78152758831158,8.003636509749608,2.979829765119109,-35.0,-10.0,-51.0,-56.0,-31.0,9.0,-29.0,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-11,FL,40932,1735,21477737,578.8571428571429,48.0,190.57873741539902,8.078132253877586,2.695149600058623,-31.0,-16.0,-28.0,-48.0,-39.0,14.0,-24.666666666666668,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-12,FL,41840,1779,21477737,632.5714285714286,44.42857142857143,194.80637089466177,8.282995550229524,2.9452424553454053,-30.0,-12.0,-24.0,-45.0,-39.0,15.0,-22.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-13,FL,42312,1827,21477737,620.2857142857143,41.714285714285715,197.0039953464371,8.506482782613457,2.8880403661042795,-29.0,-13.0,-21.0,-47.0,-39.0,15.0,-22.333333333333332,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-14,FL,43133,1875,21477737,619.7142857142857,39.857142857142854,200.82655821700396,8.72997001499739,2.8853798038139944,-31.0,-13.0,-29.0,-48.0,-39.0,13.0,-24.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-15,FL,44056,1917,21477737,699.0,35.714285714285715,205.1240314563867,8.925521343333331,3.254532821591027,-33.0,-14.0,-34.0,-50.0,-39.0,17.0,-25.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-16,FL,44731,1963,21477737,683.1428571428571,35.714285714285715,208.26682066178574,9.139696607701268,3.180702218035621,-32.0,-12.0,-28.0,-50.0,-26.0,9.0,-23.166666666666668,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-17,FL,45506,1973,21477737,708.5714285714286,36.285714285714285,211.87520826798465,9.186256447781254,3.299097239953299,-33.0,-15.0,-20.0,-53.0,-28.0,9.0,-23.333333333333332,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
